    97,156ms ID:00014E89 Pr:00000000             0 +         7,023 A9955C9D4613D15F154CD92A0463DBA1          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\enus.sc2assets" "LocalizedData/Sounds/VO/Ambient_TaldarimHero_TaldarimHero_010.fxe"
    97,156ms ID:00014E8A Pr:00000000             0 +         2,559 3555D52A18A874055F52B8F83F8415A3          RequestFile() "campaigns\voidstory.sc2campaign\enus.sc2assets" "LocalizedData/Sounds/VO/Ambient_TaldarimHero_TaldarimHero_011.fxe"
    97,156ms ID:00014E8A Pr:00000000             0 +         2,559 3555D52A18A874055F52B8F83F8415A3          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\enus.sc2assets" "LocalizedData/Sounds/VO/Ambient_TaldarimHero_TaldarimHero_011.fxe"
    97,156ms ID:00014E8A Pr:00000000             0 +         2,559 3555D52A18A874055F52B8F83F8415A3          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\enus.sc2assets" "LocalizedData/Sounds/VO/Ambient_TaldarimHero_TaldarimHero_011.fxe"
    97,156ms ID:00014E8B Pr:00000000             0 +         1,716 AD65CD68D022A5B0AA5FD77C0C3271DF          RequestFile() "campaigns\voidstory.sc2campaign\enus.sc2assets" "LocalizedData/Sounds/VO/vpMission_Ulnar03_Marine03_123.fxe"
    97,156ms ID:00014E8B Pr:00000000             0 +         1,716 AD65CD68D022A5B0AA5FD77C0C3271DF          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\enus.sc2assets" "LocalizedData/Sounds/VO/vpMission_Ulnar03_Marine03_123.fxe"
    97,156ms ID:00014E8B Pr:00000000             0 +         1,716 AD65CD68D022A5B0AA5FD77C0C3271DF          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\enus.sc2assets" "LocalizedData/Sounds/VO/vpMission_Ulnar03_Marine03_123.fxe"
    97,156ms ID:00014E8C Pr:00000000             0 +         3,994 AA28C5C81BE928E964AEFD9C5A526EB2          RequestFile() "campaigns\voidstory.sc2campaign\enus.sc2assets" "LocalizedData/Sounds/VO/Genericphrases_Adjutant_185.fxe"
    97,156ms ID:00014E8C Pr:00000000             0 +         3,994 AA28C5C81BE928E964AEFD9C5A526EB2          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\enus.sc2assets" "LocalizedData/Sounds/VO/Genericphrases_Adjutant_185.fxe"
    97,156ms ID:00014E8C Pr:00000000             0 +         3,994 AA28C5C81BE928E964AEFD9C5A526EB2          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\enus.sc2assets" "LocalizedData/Sounds/VO/Genericphrases_Adjutant_185.fxe"
    97,156ms ID:00014E8D Pr:00000000             0 +         2,417 7E0C0E9CB071A00198842B7A52B9DC02          RequestFile() "campaigns\voidstory.sc2campaign\enus.sc2assets" "LocalizedData/Sounds/TerranUnitVO/Adjutant/Alert_TerranVespeneGeyserExhausted.fxe"
    97,156ms ID:00014E8D Pr:00000000             0 +         2,417 7E0C0E9CB071A00198842B7A52B9DC02          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\enus.sc2assets" "LocalizedData/Sounds/TerranUnitVO/Adjutant/Alert_TerranVespeneGeyserExhausted.fxe"
    97,156ms ID:00014E8D Pr:00000000             0 +         2,417 7E0C0E9CB071A00198842B7A52B9DC02          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\enus.sc2assets" "LocalizedData/Sounds/TerranUnitVO/Adjutant/Alert_TerranVespeneGeyserExhausted.fxe"
    97,156ms ID:00014E8E Pr:00000000             0 +            96 EA1EA27D049B1579C8D97840DDC42EA4          RequestFile() "campaigns\voidstory.sc2campaign\enus.sc2data" "LocalizedData/GameHotkeys.txt"
    97,156ms ID:00014E8E Pr:00000000             0 +            96 EA1EA27D049B1579C8D97840DDC42EA4          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\enus.sc2data" "LocalizedData/GameHotkeys.txt"
    97,156ms ID:00014E8E Pr:00000000             0 +            96 EA1EA27D049B1579C8D97840DDC42EA4          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\enus.sc2data" "LocalizedData/GameHotkeys.txt"
    97,156ms ID:00014E8F Pr:00000000             0 +       189,879 C00D54E77CB86ED707660B6EDA887D0F          RequestFile() "campaigns\voidstory.sc2campaign\enus.sc2data" "LocalizedData/GameStrings.txt"
    97,156ms ID:00014E8F Pr:00000000             0 +       189,879 C00D54E77CB86ED707660B6EDA887D0F          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\enus.sc2data" "LocalizedData/GameStrings.txt"
    97,156ms ID:00014E8F Pr:00000000             0 +       189,879 C00D54E77CB86ED707660B6EDA887D0F          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\enus.sc2data" "LocalizedData/GameStrings.txt"
    97,156ms ID:00014E90 Pr:00000000             0 +       623,574 B340ADF6039C1697365CFE75C66FADED          RequestFile() "campaigns\voidstory.sc2campaign\enus.sc2data" "LocalizedData/ConversationStrings.txt"
    97,156ms ID:00014E90 Pr:00000000             0 +       623,574 B340ADF6039C1697365CFE75C66FADED          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\enus.sc2data" "LocalizedData/ConversationStrings.txt"
    97,156ms ID:00014E90 Pr:00000000             0 +       623,574 B340ADF6039C1697365CFE75C66FADED          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\enus.sc2data" "LocalizedData/ConversationStrings.txt"
    97,156ms ID:00014E91 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TacCooldownData.xml"
    97,156ms ID:00014E92 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TacticalData.xml"
    97,156ms ID:00014E91 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TacCooldownData.xml"
    97,156ms ID:00014E92 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TacticalData.xml"
    97,156ms ID:00014E91 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TacCooldownData.xml"
    97,156ms ID:00014E92 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TacticalData.xml"
    97,156ms ID:00014E93 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TalentData.xml"
    97,156ms ID:00014E93 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TalentData.xml"
    97,156ms ID:00014E93 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TalentData.xml"
    97,156ms ID:00014E94 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TalentProfileData.xml"
    97,156ms ID:00014E94 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TalentProfileData.xml"
    97,156ms ID:00014E94 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TalentProfileData.xml"
    97,156ms ID:00014E95 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TargetFindData.xml"
    97,156ms ID:00014E95 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TargetFindData.xml"
    97,156ms ID:00014E95 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TargetFindData.xml"
    97,156ms ID:00014E96 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TargetSortData.xml"
    97,156ms ID:00014E96 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TargetSortData.xml"
    97,156ms ID:00014E96 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TargetSortData.xml"
    97,156ms ID:00014E97 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TerrainData.xml"
    97,156ms ID:00014E97 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TerrainData.xml"
    97,156ms ID:00014E97 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TerrainData.xml"
    97,156ms ID:00014E98 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TerrainObjectData.xml"
    97,156ms ID:00014E98 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TerrainObjectData.xml"
    97,156ms ID:00014E98 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TerrainObjectData.xml"
    97,156ms ID:00014E99 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TerrainTexData.xml"
    97,156ms ID:00014E99 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TerrainTexData.xml"
    97,156ms ID:00014E99 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TerrainTexData.xml"
    97,156ms ID:00014E9A Pr:00000000             0 +        14,617 218F12B8DE37717642306C9B203E2ED1          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TextureData.xml"
    97,156ms ID:00014E9A Pr:00000000             0 +        14,617 218F12B8DE37717642306C9B203E2ED1          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TextureData.xml"
    97,156ms ID:00014E9A Pr:00000000             0 +        14,617 218F12B8DE37717642306C9B203E2ED1          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TextureData.xml"
