13,808,984ms ID:000F7E49 Pr:00000000             0 +         5,904 C6A345E96080AA31A5E82820D5FC4F79          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\btn-command-returncargo.dds"
13,808,984ms ID:000F7E4A Pr:00000000             0 +        48,928 E72214286CFB3EBA1265FB5A848BFBA4          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Terran\GoliathMissile\GoliathMissile.m3"
13,808,984ms ID:000F7E4A Pr:00000000             0 +        48,928 E72214286CFB3EBA1265FB5A848BFBA4          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Terran\GoliathMissile\GoliathMissile.m3"
13,808,984ms ID:000F7E4B Pr:00000000             0 +        19,728 48A0570F7E669EFA2D52398C1382BDA4          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\Wireframe-terran-warhound.dds"
13,808,984ms ID:000F7E4B Pr:00000000             0 +        19,728 48A0570F7E669EFA2D52398C1382BDA4          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\Wireframe-terran-warhound.dds"
13,808,984ms ID:000F7E4C Pr:00000000             0 +        19,728 35CD672397C16833E1423A82BC4D2A66          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\Wireframe-Terran-GhostAcademy.dds"
13,808,984ms ID:000F7E4C Pr:00000000             0 +        19,728 35CD672397C16833E1423A82BC4D2A66          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\Wireframe-Terran-GhostAcademy.dds"
13,808,984ms ID:000F7E4D Pr:00000000             0 +        21,472 13AAA671DD27BC64AEE384367C3714B3          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Zerg\RoachMissileImpactEx1\RoachMissileImpactEx1.m3"
13,808,984ms ID:000F7E4D Pr:00000000             0 +        21,472 13AAA671DD27BC64AEE384367C3714B3          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Zerg\RoachMissileImpactEx1\RoachMissileImpactEx1.m3"
13,808,984ms ID:000F7E4E Pr:00000000             0 +         5,904 09250D0BE61953FE7D8D8D5EB1A96CC2          StreamingThreadProc(): Calling Callback: success = true "Mods\Core.SC2Mod\Base.SC2Assets" "assets\textures\ui_btn_aicommand_commandcard_harass.dds"
13,808,984ms ID:000F7E4E Pr:00000000             0 +         5,904 09250D0BE61953FE7D8D8D5EB1A96CC2          ReleaseRequest(): Success "Mods\Core.SC2Mod\Base.SC2Assets" "assets\textures\ui_btn_aicommand_commandcard_harass.dds"
13,808,984ms ID:000F7E4F Pr:00000000             0 +    27,730,577 B78526C4502B24E2304AE998456B76C8          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\enUS.SC2Assets" "assets\textures\video_gamemodes_veteran_low.ogv"
13,808,984ms ID:000F7E4F Pr:00000000             0 +    27,730,577 B78526C4502B24E2304AE998456B76C8          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\enUS.SC2Assets" "assets\textures\video_gamemodes_veteran_low.ogv"
13,808,984ms ID:000F7E50 Pr:00000000             0 +        33,394 8E0E52F51877515A1454EEDE2BBBC4D5          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\enUS.SC2Assets" "LocalizedData\Sounds\ProtossUnitVO\Zealot\ZealotVoid_Help00.ogg"
13,808,984ms ID:000F7E50 Pr:00000000             0 +        33,394 8E0E52F51877515A1454EEDE2BBBC4D5          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\enUS.SC2Assets" "LocalizedData\Sounds\ProtossUnitVO\Zealot\ZealotVoid_Help00.ogg"
13,808,984ms ID:000F7E51 Pr:00000000             0 +        39,824 532A0A6120F10F4EC1DCA5EF94B03B82          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Zerg\LeviathanMissile\LeviathanMissile.m3"
13,808,984ms ID:000F7E51 Pr:00000000             0 +        39,824 532A0A6120F10F4EC1DCA5EF94B03B82          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Zerg\LeviathanMissile\LeviathanMissile.m3"
13,808,984ms ID:000F7E52 Pr:00000000             0 +       263,216 EB218EBE5F0B89D8DB61CD9A8D60319A          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Buildings\Zerg\SpireEx1\SpireEx1.m3"
